title,year,desc,cast,director,genres,rating
She's All That,1999,"She's All That is your typical high school prom king and queen story and the run in defending the star status in the upcoming election. High school hottie, Zack Siler is dumped by his prom-queen girlfriend, the equally attractive and extremely popular, Taylor Vaughan who fell for a second-hand world reject TV soap star who she met over the spring break. Having been publicly dumped, Zack defends his discomposure by stating that Taylor is all make-up and wonder-bra and he can make any ordinary girl a prom queen with a similar package. His high-school buddy, Dean Sampson, engages him in a bet following this statement and picks the geeky looking Laney Boggs out of the crowd as the girl Zack must transform into the new prom queen. Zack agrees since he has no option, but as time passes and Laney begins to transform, Zack begins to find her attractive. While all that falls beautifully in place, it's not your typical fairy-tale. Throw in Dean Sampson to complicate the situation, as when he first made the bet he never thought that Zack could rise to the challenge but looking at how Laney has transformed, it looks like Zack could be on a winning streak.","Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker",Robert Iscove,"['Comedy', 'Romance']",PG-13
The Waterboy,1998,"In this engaging comedy, Adam Sandler plays Bobby Boucher, a lovable dolt from the Louisiana bayou who works as a waterboy for a college football team. But when Bobby gets angry, he becomes a football dynamo, and the coach decides to capitalize on that. There's just one problem: Bobby must hide his new role on the team from his neurotic mom (Kathy Bates). Henry Winkler, Fairuza Balk.","Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Balk",Frank Coraci,"['Comedy', 'Sport']",PG-13
School of Rock,2003,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.","Jack Black, Joan Cusack, Mike White, Sarah Silverman",Richard Linklater,"['Comedy', 'Music']",PG-13
Varsity Blues,1999,"In this rousing coming-of-age tale, a second-string high-school quarterback (James Van Der Beek) replaces the injured starter. At first, the quarterback revels in his new role, but then, his relaxed attitude causes problems with his gung-ho coach (Jon Voight). Paul Walker, Rob Lester, Scott Caan, Richard Lineback, Ali Larter, Tiffany C. Love.","James Van Der Beek, Amy Smart, Jon Voight, Paul Walker",Brian Robbins,"['Comedy', 'Drama', 'Romance', 'Sport']",R
Mean Girls,2004,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",Mark Waters,['Comedy'],PG-13
The Longest Yard,2005,"Paul ""Wrecking"" Crewe was a revered football superstar back in his day, but that time has since faded. But when a messy drunk driving incident lands him in jail, Paul finds he was specifically requested by Warden Hazen (James Cromwell), a duplicitous prison official well aware of Paul's athletic skills. Paul has been assigned the task of assembling a team of convicts, to square off in a big football game against the sadistic guards. With the help of fellow convict Caretaker, and an old legend named Nate Scarborough to coach, Crewe is ready for what promises to be a very interesting game. It's only the warden and the guards who have no idea who or what they're up against, with Paul the driving force behind the new team.","Adam Sandler, Chris Rock, Burt Reynolds, Nelly",Peter Segal,"['Comedy', 'Crime', 'Sport']",PG-13
Zoolander,2001,"Derek Zoolander is VH1's three time male model of the year, but when Hansel wins the award instead, Zoolander's world becomes upside down. His friends disappear, his father is disappointed in him, and he feels that he's not good as a model anymore. But when evil fashion guru Mugatu hires Zoolander, he thinks his life has turned back round again, that is until he finds out that Mugatu has actually brainwashed him to kill the Prime Minister of Malaysia. Can Zoolander and his new friends find out how to prevent the incident before it's too late?","Ben Stiller, Owen Wilson, Christine Taylor, Will Ferrell",Ben Stiller,['Comedy'],PG-13
Stripes,1981,Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles",Ivan Reitman,"['Comedy', 'War']",R
Beetlejuice,1988,"Thanks to an untimely demise via drowning, a young couple end up as poltergeists in their New England farmhouse, where they fail to meet the challenge of scaring away the insufferable new owners, who want to make drastic changes. In desperation, the undead newlyweds turn to an expert frightmeister, but he's got a diabolical agenda of his own.","Michael Keaton, Geena Davis, Alec Baldwin, Winona Ryder",Tim Burton,"['Comedy', 'Fantasy']",PG
Scary Movie,2000,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.","Carmen Electra, Dave Sheridan, Frank B. Moore, Giacomo Baessato",Keenen Ivory Wayans,['Comedy'],R
Book Club,2018,Four lifelong friends have their lives forever changed after reading 50 Shades of Grey in their monthly book club.,"Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen",Bill Holderman,"['Comedy', 'Drama', 'Romance']",PG-13
Bring It On,2000,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,"Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union",Peyton Reed,"['Comedy', 'Romance', 'Sport']",PG-13
The Best Exotic Marigold Hotel,2012,"Tom Wilkinson headlines this uplifting comedy-drama about several British retirees who pool their resources to move to India, only to find that the hotel they're planning to reside at has fallen into disrepair. In time, they attempt to make the best out of a bad situation.","Tom Wilkinson, Maggie Smith, Judi Dench, Bill Nighy",John Madden,"['Comedy', 'Drama', 'Romance']",PG-13
Mamma Mia!,2008,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,"Amanda Seyfried, Stellan Skarsgård, Pierce Brosnan, Nancy Baldwin",Phyllida Lloyd,"['Comedy', 'Musical', 'Romance']",PG-13
"Hail, Caesar!",2016,"When a Hollywood star mysteriously disappears in the middle of filming, the studio sends their fixer to get him back.","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes","Joel Coen, Ethan Coen","['Comedy', 'Drama', 'Mystery']",PG-13
Ferris Bueller's Day Off,1986,A charismatic high-school student convinces his repressed best friend to play hooky with him and his girlfriend and attempts to bring the young man out of his shell during a memorable day in Chicago.,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones",John Hughes,['Comedy'],PG-13
Bridesmaids,2011,This lighthearted comedy from director Paul Feig follows a devoted maid of honor who struggles to put her financial and romantic woes aside as she attempts to plan the perfect wedding for her best friend.,"Kristen Wiig, Maya Rudolph, Rose Byrne, Wendi McLendon-Covey",Paul Feig,['Comedy'],R
The Nice Guys,2016,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",Shane Black,"['Action', 'Comedy', 'Crime', 'Thriller']",R
The Birdcage,1996,A flamboyantly gay couple pretend to be straight in order to impress the parents of the woman their son wants to marry because the girl's father is a rabidly right-wing U.S. Senator.,"Robin Williams, Nathan Lane, Dan Futterman, Gene Hackman",Mike Nichols,['Comedy'],R
The Princess Diaries 2: Royal Engagement,2004,"Princess Mia Thermopolis (Anne Hathaway) has just turned 21 and is supposed to succeed her grandmother as the Queen of Genovia. But Viscount Mabrey (John Rhys-Davies), who wants his nephew, who is also in line to the throne, to be the new ruler, reminds everyone of a law that states that an unmarried woman can't be made Queen, and with the backing of Parliament, he opposes Mia's coronation. Queen Clarisse Renaldi (Dame Julie Andrews) asks that Mia be allowed time to find a husband, and she is given 30 days, but Mabrey tries to do what he can to stop that: his nephew, Nicholas Devereaux (Chris Pine) has met Mia and they are attracted to each other, but Mia, upon learning who he is, dislikes and distrusts him, but Queen Clarisse has invited him to stay with them for the 30-day period to keep an eye on him.","Anne Hathaway, Julie Andrews, Hector Elizondo, John Rhys-Davies",Garry Marshall,"['Comedy', 'Family', 'Romance']",G
Coco,2017,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",Lee Unkrich,"['Animation', 'Adventure', 'Drama']",PG
The Hurt Locker,2009,"An intense portrayal of elite soldiers who have one of the most dangerous jobs in the world: disarming bombs in the heat of combat. When a new sergeant, James, takes over a highly trained bomb disposal team amidst violent conflict, he surprises his two subordinates, Sanborn and Eldridge, by recklessly plunging them into a deadly game of urban combat, behaving as if he's indifferent to death. As the men struggle to control their wild new leader, the city explodes into chaos, and James' true character reveals itself in a way that will change each man forever.","Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",Kathryn Bigelow,"['Drama', 'Thriller', 'War']",R
12 Strong,2018,"The True Story of the Army's Special Forces ""Green Berets"", who within weeks responded to the 9-11 attack. Green Berets, with the help of the 160th SOAR(A), took over the country and allowed other Special Forces and the rest of the conventional military to begin the more publicly visible war.","Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban",Nicolai Fuglsig,"['Action', 'Drama', 'History', 'War']",R
Hacksaw Ridge,2016,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",Mel Gibson,"['Biography', 'Drama', 'History', 'War']",R
Fury,2014,"In April 1945, as the Allies make their final push in the European Theater, a battle-hardened Army sergeant named Wardaddy commands a five-man Sherman tank crew on a deadly mission behind enemy lines. Outnumbered, out-gunned, and with a rookie soldier thrust into their platoon, Wardaddy and his men face overwhelming odds in their heroic attempts to defend a field hospital from Waffen SS troops.","Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña",David Ayer,"['Action', 'Drama', 'War']",R
Apollo 13,1995,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Ron Howard,"['Adventure', 'Drama', 'History']",PG
Battle of the Sexes,2017,The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,"Emma Stone, Steve Carell, Andrea Riseborough, Sarah Silverman",Jonathan Dayton,"['Biography', 'Comedy', 'Drama', 'History', 'Sport']",PG-13
Good Will Hunting,1997,"Costars and co-writers Matt Damon and Ben Affleck won an Oscar for their tale of a charismatic genius (Damon) who lands in jail after a playground brawl. His hope for the future lies with a sympathetic therapist (Best Supporting Actor Robin Williams), who understands the young man's rebellious nature. Minnie Driver, Stellan Skarsgard, Casey Affleck.","Matt Damon, Robin Williams, Ben Affleck, Minnie Driver",Gus Van Sant,"['Drama', 'Romance']",R
The Imitation Game,2014,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear",Morten Tyldum,"['Biography', 'Drama', 'Thriller', 'War']",PG-13
Call Me By Your Name,2017,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.","Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar",Luca Guadagnino,"['Drama', 'Romance']",R
The Twilight Saga: Eclipse,2010,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.","Robert Pattinson, Kristen Stewart, Taylor Lautner, Ashley Greene",David Slade,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']",PG-13
The Twilight Saga: Breaking Dawn - Part 1,2011,The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world.,"Robert Pattinson, Kristen Stewart, Taylor Lautner, Ashley Greene",Bill Condon,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",PG-13
The Twilight Saga: New Moon,2009,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.","Robert Pattinson, Kristen Stewart, Taylor Lautner, Billy Burke",Chris Weitz,"['Adventure', 'Drama', 'Fantasy', 'Romance']",PG-13
The Twilight Saga: Breaking Dawn - Part 2,2012,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.","Robert Pattinson, Kristen Stewart, Taylor Lautner, Peter Facinelli",Bill Condon,"['Adventure', 'Drama', 'Fantasy', 'Romance']",PG-13
Twilight,2008,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.","Robert Pattinson, Kristen Stewart, Billy Burke, Taylor Lautner",Catherine Hardwicke,"['Drama', 'Fantasy', 'Romance']",PG-13
Top Gun: Maverick,2022,"After more than thirty years of service as one of the Navy's top aviators, Pete ""Maverick"" Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him. When he finds himself training a detachment of Top Gun graduates for a specialized mission, Maverick encounters Lt. Bradley Bradshaw, call sign: ""Rooster,"" the son of Maverick's late friend and Radar Intercept Officer Lt. Nick Bradshaw, aka ""Goose.""","Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm",Joseph Kosinski,"['Action', 'Drama']",PG-13
Top Gun,1986,A maverick Navy fighter pilot (Tom Cruise) romances his instructor (Kelly McGillis) in an elite training program. Goose: Anthony Edwards. Iceman: Val Kilmer. Viper: Tom Skerritt. Jester: Michael Ironside. Carole: Meg Ryan. Merlin: Tim Robbins. Tony Scott directed.,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards",Tony Scott,"['Action', 'Drama']",PG
The Hunger Games: Catching Fire,2013,"In this stunning sci-fi sequel, Katniss and Peeta tour Panem and sense growing unrest as they prepare to participate in the 75th Hunger Games. Meanwhile, President Snow plots their downfall during preparations for the Quarter Quell, which only occurs every 25 years in celebration of the Capitol's victory over the districts.","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Francis Lawrence,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13
The Hunger Games: Mockingjay - Part 2,2015,"In the fourth and final installment of the electrifying ""Hunger Games"" saga, Katniss and her allies face their biggest challenge yet as the uprising sets its sights on revenge against President Snow during its siege of the Capitol. Meanwhile, Katniss must also deal with her brainwashed ex-lover and tensions with her current beau.","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Francis Lawrence,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13
The Hunger Games: Mockingjay - Part 1,2014,"Katniss ends up in District 13 following the Quarter Quell, and sets out to save Peeta while forging a fragile alliance with President Coin in this exciting sequel. Meanwhile, Katniss' courage becomes a source of inspiration to the downtrodden masses.","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Francis Lawrence,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13
Shrek,2001,"Mike Myers, Eddie Murphy and Cameron Diaz lend their voices to this outrageously funny comedy with dazzling computer animation. It's a fractured fairy tale about an ogre who falls in love with a princess. It's also a clever and sophisticated spoof of children's stories and all things Disney. John Lithgow.","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow","Vicky Jenson, Andrew Adamson","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",PG
Shrek the Third,2007,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.","Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas","Chris Miller, Raman Hui","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",PG
Sonic The Hedgehog,2020,"Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.","Ben Schwartz, James Marsden, Jim Carrey, Tika Sumpter",Jeff Fowler,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",PG
August Rush,2007,An orphaned musical prodigy uses his gift as a clue to finding his birth parents.,"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard",Kirsten Sheridan,"['Drama', 'Music']",PG
Nanny McPhee,2006,"1860s Victorian England. Sadly, the widowed undertaker, Cedric Brown, has a lot on his plate. As the desperate father works his fingers to the bone to provide for his seven unruly children, in the meantime, they have managed to drive out not one but seventeen nannies with their elaborate practical jokes and bad behaviour. Then, on a stormy night, the hideous government nanny extraordinaire, Nanny McPhee, sets foot in Cedric's household, bent on transforming the children's manners and the house. Will a dash of magic do the trick?","Emma Thompson, Colin Firth, Kelly Macdonald, Thomas Brodie-Sangster",Kirk Jones,"['Comedy', 'Family', 'Fantasy']",PG
How To Train Your Dragon,2010,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",Chris Sanders,"['Animation', 'Action', 'Adventure']",PG
Brother Bear,2003,"Disney presents Brother Bear, an epic adventure full of comedy, heart and great songs. When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons.","Joaquin Phoenix, Jeremy Suarez, Jason Raize, Rick Moranis","Aaron Blaise, Robert Walker","['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",G
Storks,2016,"Storks deliver babies…or at least they used to. Now they deliver packages for a global internet retail giant. Junior, the company’s top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl...","Andy Samberg, Katie Crown, Kelsey Grammer, Keegan-Michael Key",Doug Sweetland,"['Animation', 'Adventure', 'Comedy']",PG
Casper,1995,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,"Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty",Brad Silberling,"['Comedy', 'Family', 'Fantasy']",PG
Hotel Transylvania,2012,This uproarious animated comedy follows the high jinks that ensue when an ordinary human unwittingly checks in at the Hotel Transylvania during the same time Dracula is busy hosting a monsters-only birthday party for his daughter.,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",Genndy Tartakovsky,"['Animation', 'Adventure', 'Comedy']",PG
Space Jam: A New Legacy,2021,"A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game.","LeBron James, Don Cheadle, Khris Davis, Sonequa Martin-Green",Malcolm D. Lee,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",PG
Matilda,1996,An extraordinarily intelligent young girl from a cruel and uncaring family discovers she possesses telekinetic powers and is sent off to a school headed by a tyrannical principal.,"Mara Wilson, Danny DeVito, Rhea Perlman, Embeth Davidtz",Danny DeVito,"['Comedy', 'Family', 'Fantasy']",PG
Nacho Libre,2006,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed.","Jack Black, Ana de la Reguera, Héctor Jiménez, Darius Rose",Jared Hess,"['Comedy', 'Family', 'Sport']",PG
Up,2009,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.","Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",Pete Docter,"['Animation', 'Adventure', 'Comedy']",PG
Encanto,2021,"Deep in the Colombian mountains, the Madrigal family possesses an extraordinary secret. Each member of the family is able to perform magic. Yet at the heart of the family is 15-year-old Mirabel, who does not seem to possess any unusual abilities. Faced with this harsh reality, Mirabel struggles to reconcile her place within her family while searching for who she truly is.","Stephanie Beatriz, Diane Guerrero, Wilmer Valderrama, Stephanie Beatriz","Byron Howard, Jared Bush","['Animation', 'Comedy', 'Family']",PG
Charlie and the Chocolate Factory,2005,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",Tim Burton,"['Adventure', 'Comedy', 'Family']",PG
Finding Nemo,2003,"Best Animated Feature about a clown fish who teams up with a ditzy blue tang to search for his missing son. This witty, sweet and beautifully animated undersea adventure was produced by Disney and Pixar Studios, which also released ""Monsters, Inc.""","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","Andrew Stanton, Lee Unkrich","['Animation', 'Adventure', 'Comedy']",G
The Game Plan,2007,"Joe Kingman is a huge football star. He's got women, money, and a good career. Everything is perfect for him. Then one day an 8-year-old girl named Peyton shows up at his door and says that she's his daughter from a previous relationship. Once he has proof that she is telling the truth, he tries but fails miserably at ""parenting"". From problems such as his super speedy car with no back seat, to leaving her at a bar at 3am, he's got a lot to deal with. Eventually though, she gets him, (and his football team) wrapped around her finger. When she has a near-death experience and Joe finds out that her mother, Susan, died early that year, he wants her to move in with him. But her Aunt Stella disagrees and takes her home. Joe has to play the game of his life and when he's injured and things don't look good for him, Peyton comes out and gets him right back on the field.","Dwayne Johnson, Madison Pettis, Kyra Sedgwick, Roselyn Sanchez",Andy Fickman,"['Comedy', 'Family', 'Sport']",PG
A Cinderella Story,2004,"Samantha Montgomery (Hilary Duff) or ""Sam"", has a rough childhood with her father dying in an earthquake and a new stepmother with two awful daughters. But on the bright side, Sam has an awesome best friend named Carter (Dan Byrd) and an e-mail relationship with a guy named Nomad. One day, Sam gets an e-mail from her Nomad saying that he wants to meet her in the middle of the dance floor at their high school Halloween dance. She accepts the invitation and glides into the room wearing the best outfit ever. Her Nomad takes her outside where they share a romantic dance together and Sam realizes that her e-mail friend is the most popular guy in school, Austin Ames (Chad Michael Murray). She runs back to her stepmother's diner before she knows she went to the dance and drops her phone on the way. Austin finds it and starts a search for his Cinderella.","Hilary Duff, Jennifer Coolidge, Chad Michael Murray, Dan Byrd",Mark Rosman,"['Comedy', 'Family', 'Romance']",PG
Save the Last Dance,2001,"Sara wants to be a dancer, but her dreams are cut short by the sudden death of her mother. She moves in with her father, who she has not seen for a long time. He lives on the other side of town, in a predominantly Black neighborhood. She gets transferred to a new school where she is one of the few White students there. She becomes friends with Chenille, and later, falls in love with Chenille's brother, Derek.","Julia Stiles, Sean Patrick Thomas, Kerry Washington, Fredro Starr",Thomas Carter,"['Drama', 'Music', 'Romance']",PG-13
He's Just Not That Into You,2009,"Remember that really cute girl/guy who said they'd call – and didn't? Maybe they lost your number. Maybe they're in the hospital. Maybe they're awed by your looks, brains or success. Or maybe... They're just not that into you.","Jennifer Aniston, Drew Barrymore, Jennifer Connelly, Scarlett Johansson",Ken Kwapis,"['Comedy', 'Drama', 'Romance']",PG-13
The Wedding Singer,1998,"Robbie, a local rock star turned wedding singer, is dumped on the day of his wedding. Meanwhile, waitress Julia finally sets a wedding date with her fiancée Glenn. When Julia and Robbie meet and hit it off, they find that things are more complicated than anybody thought.","Adam Sandler, Drew Barrymore, Christine Taylor, Allen Covert",Frank Coraci,"['Comedy', 'Music', 'Romance']",PG-13
Warm Bodies,2013,"After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.","Nicholas Hoult, Teresa Palmer, Lio Tipton, John Malkovich",Jonathan Levine,"['Comedy', 'Horror', 'Romance']",PG-13
My Best Friend's Wedding,1997,"A strong cast and witty script recommend this delightful romantic comedy about a woman (Julia Roberts) and her best pal Michael (Dermot Mulroney). When he gets engaged, she decides that she wants him for herself and plots to sabotage his nuptials. Cameron Diaz, Rupert Everett.","Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett",P.J. Hogan,"['Comedy', 'Drama', 'Romance']",PG-13
Spider-Man: Into The Spider-Verse,2018,"After a bite from a radioactive spider, Miles Morales becomes the one and only Spider-Man. When a dimensional gateway opens up, Miles soon realizes he isn't the only spider superhero as he meets many different versions of spiderman from other universes, including the original Peter Parker.","Jake Johnson, Shameik Moore, Brian Tyree Henry, Hailee Steinfeld","Peter Ramsey, Rodney Rothman, Bob Persichetti","['Animation', 'Action', 'Adventure']",PG
Man Of Steel,2013,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","Henry Cavill, Amy Adams, Michael Shannon, Kevin Costner",Zack Snyder,"['Action', 'Adventure', 'Sci-Fi']",PG-13
Arrival,2016,"Alien spacecraft plant themselves at various locations around the globe in this riveting science-fiction film, forcing a linguist and a theoretical physicist to find a way to communicate with the mysterious visitors in order to learn what they want.","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Denis Villeneuve,"['Drama', 'Mystery', 'Sci-Fi']",PG-13
2001: A Space Odyssey,1968,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain",Stanley Kubrick,"['Adventure', 'Sci-Fi']",G
Passengers,2016,"In this riveting sci-fi romance, two passengers aboard a spacecraft traveling to a distant planet are brought out of suspended animation by a technical glitch—90 years before the vessel is due to reach its destination. Together, they must investigate the malfunction that awakened them, which could threaten the safety of the ship.","Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne",Morten Tyldum,"['Drama', 'Romance', 'Sci-Fi', 'Thriller']",R
The Fifth Element,1997,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.","Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm",Luc Besson,"['Action', 'Adventure', 'Sci-Fi']",PG-13
Minority Report,2002,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.","Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough",Steven Spielberg,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",PG-13
A League of Their Own,1992,"A look at the first women's professional baseball league is set during World War II and focuses on the rivalry between sisters, one a sweet-swinging catcher and the other a pouty, impulsive pitcher, who play on the same team, which is managed by a washed-up, hard-drinking ex-Major Leaguer.","Tom Hanks, Geena Davis, Lori Petty, Madonna",Penny Marshall,"['Comedy', 'Drama', 'Sport']",PG
Just Go with It,2011,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.","Adam Sandler, Jennifer Aniston, Nicole Kidman, Nick Swardson",Dennis Dugan,"['Comedy', 'Romance']",PG-13
Anchorman: The Legend of Ron Burgundy,2004,"Will Ferrell is a barrel of laughs as callow, sexist Ron Burgundy, a TV anchor in 1970s San Diego who's aghast when he's teamed with an ambitious female reporter behind the news desk.","Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell",Adam McKay,['Comedy'],PG-13
Anchorman 2: The Legend Continues,2014,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.","Will Ferrell, Steve Carell, Paul Rudd, David Koechner",Adam McKay,['Comedy'],PG-13
